"Key","Issue Type","Parent","Summary","Status","Assignee","Start date","Inferred start date","Due date","Inferred due date","Issue color"
"MUK-474","Epic","","MukeHouse","To Do","","","","2024/01/14","2024/01/14","purple"
"MUK-508","Epic","","NOCAP Mobile Release","To Do","","","2025/11/05","","2026/12/30","purple"
"MUK-511","Task","MUK-508","Core App - Habit Definition System","Done","","","","","","purple"
"MUK-512","Task","MUK-508","Core App - Performance Tracking","Done","","","","","","purple"
"MUK-513","Task","MUK-508","Sub-Habit Management","Done","","","","","","purple"
"MUK-514","Task","MUK-508","Time & Schedule Display","Done","","","","","","purple"
"MUK-515","Task","MUK-508","Social Following System","Done","","","","","","purple"
"MUK-516","Task","MUK-508","Budget & Financial Tracking","Done","","","","","","purple"
"MUK-518","Task","MUK-508","MukeApps —> Select Habit From My Library","Done","","2025/11/05","2025/11/05","2025/11/07","2025/11/07","purple"
"MUK-517","Task","MUK-508","Contractor —> GoogleSignIn","Done","","2025/11/08","2025/11/08","2025/11/11","2025/11/11","purple"
"MUK-526","Task","MUK-508","CSV Importer","Done","","2025/11/10","2025/11/10","2025/11/14","2025/11/14","purple"
"MUK-525","Task","MUK-508","MukeApps --> HabitLinkItem CSV Excel Uploads","Done","","2025/11/09","2025/11/09","2025/11/16","2025/11/16","purple"
"MUK-527","Task","MUK-508","ProfileScreen","Done","","2025/11/15","2025/11/15","2025/11/19","2025/11/19","purple"
"MUK-534","Task","MUK-508","ADD HABIT-LINK-ITEM","Done","","2025/11/20","2025/11/20","2025/11/26","2025/11/26","purple"
"MUK-521","Task","MUK-508","Contractors —> Habit Tracker Calendar","Done","","2025/11/26","2025/11/26","2025/11/30","2025/11/30","purple"
"MUK-535","Task","MUK-508","Manual Score HabitLinkItem","Done","","2025/11/30","2025/11/30","2025/12/05","2025/12/05","purple"
"MUK-520","Task","MUK-508","MukeApps —> HabitMarket version 1 : No Payment logic everything is free","Done","","2025/12/06","2025/12/06","2025/12/21","2025/12/21","purple"
"MUK-537","Task","MUK-508","NOCAP FIX UNIT ISSUES","Done","","2025/12/22","2025/12/22","2025/12/31","2025/12/31","purple"
"MUK-533","Task","MUK-508","NOCAP KICKSTARTER READY TO PUBLISH","Done","","2026/01/01","2026/01/01","2026/01/06","2026/01/06","purple"
"MUK-538","Task","MUK-508","NOCAP Market Seel All","Done","","2026/01/08","2026/01/08","2026/02/11","2026/02/11","purple"
"MUK-519","Task","MUK-508","Social Media Part 1 - Post - Create - View - Delete","Done","","2026/02/12","2026/02/12","2026/02/16","2026/02/16","purple"
"MUK-539","Task","MUK-508","Social Media Part 2 - Comments","Done","","2026/02/17","2026/02/17","2026/02/21","2026/02/21","purple"
"MUK-540","Task","MUK-508","Social Media Part 3 - Search","Done","","2026/02/22","2026/02/22","2026/02/28","2026/02/28","purple"
"MUK-532","Task","MUK-508","NOCAP Clean Up","Done","","2026/02/22","2026/02/22","2026/03/08","2026/03/08","purple"
"MUK-530","Task","MUK-508","NOCAP API SWAP Version 0.0.0.1","Done","","2026/03/09","2026/03/09","2026/04/02","2026/04/02","purple"
"MUK-529","Task","MUK-508","NOCAP AI Score  Version 0.0.0.1","Done","","2026/04/03","2026/04/03","2026/04/09","2026/04/09","purple"
"MUK-543","Task","MUK-508","NOCAP SWAP & GENERATOR SAVING","Done","","2026/04/10","2026/04/10","2026/04/23","2026/04/23","purple"
"MUK-542","Task","MUK-508","NOCAP YOUTUBE VIDEOS","In Progress","","2026/04/24","2026/04/24","2026/05/21","2026/05/21","purple"
"MUK-536","Task","MUK-508","NOCAP SUBSCRIPTION","In Progress","","2026/05/22","2026/05/22","2026/06/26","2026/06/26","purple"
"MUK-523","Task","MUK-508","HabitMarket Buy Credits for NoCap AI","In Progress","","2026/06/27","2026/06/27","2026/08/28","2026/08/28","purple"
"MUK-522","Task","MUK-508","Contractor —> Ads","To Do","","2026/08/29","2026/08/29","2026/09/15","2026/09/15","purple"
"MUK-531","Task","MUK-508","NOCAP AI CHAT Version 0.0.0.1","To Do","","2026/09/16","2026/09/16","2026/09/29","2026/09/29","purple"
"MUK-541","Task","MUK-508","Social Media Part 4 - Videos or Reels","To Do","","2026/09/30","2026/09/30","2026/10/13","2026/10/13","purple"
"MUK-528","Task","MUK-508","Habit Paterners","To Do","","2026/10/14","2026/10/14","2026/10/27","2026/10/27","purple"
"MUK-524","Task","MUK-508","CLEAN UP - UI","To Do","","2025/11/05","2025/11/05","2026/12/30","2026/12/30","purple"
